aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,106,1408348811,6.517,-2065.439,5.055,24.852,302.208,2660,0.185,2.007,3.890,3.064,1.214,11.111,17.078,1378.583,0.259
0,106,1408375583,11.256,1790.563,5.003,24.905,200.373,2350,0.185,2.745,3.227,2.514,1.023,38.630,42.589,1375.981,0.008
0,106,1408390309,17.850,-2069.807,5.542,24.977,95.205,2370,0.185,0.988,2.543,1.863,1.175,3.857,3.680,91.584,0.058
0,107,1408343233,7.764,2537.576,6.127,24.966,37.283,2570,0.185,1.330,2.978,2.361,1.129,8.893,10.169,1079.517,-0.166
0,107,1408353186,1.390,-2096.696,5.064,24.978,319.877,2690,0.185,1.762,3.008,2.255,1.021,11.703,21.939,1748.541,0.131
0,107,1408380643,9.876,1809.444,5.033,24.868,220.508,2370,0.185,16.965,4.734,3.873,1.412,119.117,862.219,6645.758,1.631
0,107,1408395888,3.603,-1842.274,5.085,24.934,114.701,2400,0.185,1.247,4.489,3.827,1.562,6.918,10.564,1625.213,0.087
0,108,1408320768,6.109,-1360.984,5.016,17.529,159.695,1500,0.185,9.898,2.903,2.201,1.085,99.729,422.638,2774.748,-0.994
0,108,1408347349,0.797,2389.331,5.003,24.678,56.762,2640,0.185,1.181,2.803,2.109,1.292,4.785,4.799,231.762,0.004
0,108,1408357574,5.478,-2077.380,5.022,24.941,338.038,2670,0.185,1.345,3.039,2.529,1.442,6.010,10.065,732.517,0.251
0,108,1408385813,9.405,1836.437,5.019,24.904,241.926,2410,0.185,15.549,6.991,5.935,2.418,73.325,370.088,4837.362,-0.323
0,108,1408401093,3.906,-1821.704,5.093,24.932,136.168,2370,0.185,4.819,4.326,3.178,1.201,21.570,81.725,2786.843,-0.185
0,109,1408321098,0.895,-1731.017,5.082,22.554,52.581,2160,0.185,1.014,6.370,6.066,1.301,3.893,3.078,914.314,0.074
0,109,1408351188,0.628,2128.133,5.341,24.924,324.708,2470,0.185,2.059,3.247,2.421,1.092,8.207,17.331,900.716,0.280
0,109,1408363643,12.353,-1878.315,5.095,24.936,231.951,2430,0.185,15.825,4.034,3.209,1.097,120.374,983.896,6680.712,-2.535
0,109,1408389156,5.794,2085.747,5.390,24.917,126.518,2410,0.185,1.824,2.463,1.940,1.010,10.398,24.847,671.176,0.235
0,109,1408401581,0.650,-1925.988,5.091,24.941,34.312,2490,0.185,1.032,3.747,2.927,1.004,6.474,5.106,941.699,-0.029
0,110,1408325295,19.505,-2296.204,6.109,24.924,67.340,2310,0.185,0.696,2.216,1.543,1.117,3.213,1.607,41.217,0.008
0,110,1408356277,18.455,2803.751,15.891,24.898,338.387,1140,0.185,1.119,2.478,1.832,1.198,3.387,2.292,24.389,0.027
0,110,1408367479,8.313,-1916.925,5.066,24.926,250.101,2480,0.185,4.541,4.015,3.043,1.343,36.389,71.361,1979.950,-0.465
0,110,1408392885,6.543,1806.334,5.029,24.942,145.860,2370,0.185,2.677,4.025,3.052,1.101,16.970,26.023,1291.562,-0.081
